,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRIMARY,KM,TAHUN,NO,TYPE,INDIKATOR KINERJA 2026,POLARITAS,SATUAN,UNIT,TARGET BULANAN,,TARGET MINGGU-1 ,TARGET MINGGU-2,TARGET MINGGU-3,TARGET MINGGU-4,TARGET MINGGU-5,,REALISASI MINGGU-1,REALISASI MINGGU-2 ,REALISASI MINGGU-3 ,REALISASI MINGGU-4 ,REALISASI MINGGU-5,,PENCAPAIAN MINGGU-1,PENCAPAIAN MINGGU-2 ,PENCAPAIAN MINGGU-3,PENCAPAIAN MINGGU-4,PENCAPAIAN MINGGU-5,,CARRY OVER MINGGU-1,,,,,,,,,,CARRY OVER MINGGU-2,CARRY OVER MINGGU-3,CARRY OVER MINGGU-4,CARRY OVER MINGGU-5
LM-1 Melaksanakan Penambahan Daya TersambungUID JABAR2026,4DX,2026,WIG-1,4DX,LM-1 Melaksanakan Penambahan Daya Tersambung,3,MVA,UID JABAR,"159,63",,"31,93","31,93","31,93","31,93","31,93",,"27,38","27,38","27,38","27,38","27,38",,"85,76%",86%,86%,86%,86%,,5,,,,,,,,,,,,,
LM-1 Melaksanakan Penambahan Daya TersambungBANDUNG2026,4DX,2026,WIG-1,4DX,LM-1 Melaksanakan Penambahan Daya Tersambung,3,MVA,BANDUNG,"11,08",,"2,22","2,22","2,22","2,22","2,22",,"2,37","2,37","2,37","2,37","2,37",,"106,97%",107%,107%,107%,107%,,0,,,,,,,,,,,,,
LM-1 Melaksanakan Penambahan Daya TersambungBEKASI2026,4DX,2026,WIG-1,4DX,LM-1 Melaksanakan Penambahan Daya Tersambung,3,MVA,BEKASI,"9,45",,"1,89","1,89","1,89","1,89","1,89",,"1,95","1,95","1,95","1,95","1,95",,"103,21%",103%,103%,103%,103%,,0,,,,,,,,,,,,,
LM-1 Melaksanakan Penambahan Daya TersambungBOGOR2026,4DX,2026,WIG-1,4DX,LM-1 Melaksanakan Penambahan Daya Tersambung,3,MVA,BOGOR,"11,97",,"2,39","2,39","2,39","2,39","2,39",,"2,67","2,67","2,67","2,67","2,67",,"110,00%",110%,110%,110%,110%,,0,,,,,,,,,,,,,
LM-1 Melaksanakan Penambahan Daya TersambungCIANJUR2026,4DX,2026,WIG-1,4DX,LM-1 Melaksanakan Penambahan Daya Tersambung,3,MVA,CIANJUR,"3,97",,"0,79","0,79","0,79","0,79","0,79",,"0,87","0,87","0,87","0,87","0,87",,"109,68%",110%,110%,110%,110%,,0,,,,,,,,,,,,,
LM-1 Melaksanakan Penambahan Daya TersambungCIKARANG2026,4DX,2026,WIG-1,4DX,LM-1 Melaksanakan Penambahan Daya Tersambung,3,MVA,CIKARANG,"23,04",,"4,61","4,61","4,61","4,61","4,61",,"1,62","1,62","1,62","1,62","1,62",,"35,15%",35%,35%,35%,35%,,3,,,,,,,,,,,,,
LM-1 Melaksanakan Penambahan Daya TersambungCIMAHI2026,4DX,2026,WIG-1,4DX,LM-1 Melaksanakan Penambahan Daya Tersambung,3,MVA,CIMAHI,"6,42",,"1,28","1,28","1,28","1,28","1,28",,"0,92","0,92","0,92","0,92","0,92",,"71,66%",72%,72%,72%,72%,,0,,,,,,,,,,,,,
LM-1 Melaksanakan Penambahan Daya TersambungCIREBON2026,4DX,2026,WIG-1,4DX,LM-1 Melaksanakan Penambahan Daya Tersambung,3,MVA,CIREBON,"8,47",,"1,69","1,69","1,69","1,69","1,69",,"2,29","2,29","2,29","2,29","2,29",,"110,00%",110%,110%,110%,110%,,-1,,,,,,,,,,,,,
LM-1 Melaksanakan Penambahan Daya TersambungDEPOK2026,4DX,2026,WIG-1,4DX,LM-1 Melaksanakan Penambahan Daya Tersambung,3,MVA,DEPOK,"8,95",,"1,79","1,79","1,79","1,79","1,79",,"1,86","1,86","1,86","1,86","1,86",,"103,96%",104%,104%,104%,104%,,0,,,,,,,,,,,,,
LM-1 Melaksanakan Penambahan Daya TersambungGARUT2026,4DX,2026,WIG-1,4DX,LM-1 Melaksanakan Penambahan Daya Tersambung,3,MVA,GARUT,"4,48",,"0,90","0,90","0,90","0,90","0,90",,"0,99","0,99","0,99","0,99","0,99",,"110,00%",110%,110%,110%,110%,,0,,,,,,,,,,,,,
LM-1 Melaksanakan Penambahan Daya TersambungGUNUNG PUTRI2026,4DX,2026,WIG-1,4DX,LM-1 Melaksanakan Penambahan Daya Tersambung,3,MVA,GUNUNG PUTRI,"8,54",,"1,71","1,71","1,71","1,71","1,71",,"1,00","1,00","1,00","1,00","1,00",,"58,55%",59%,59%,59%,59%,,1,,,,,,,,,,,,,
LM-1 Melaksanakan Penambahan Daya TersambungINDRAMAYU2026,4DX,2026,WIG-1,4DX,LM-1 Melaksanakan Penambahan Daya Tersambung,3,MVA,INDRAMAYU,"7,04",,"1,41","1,41","1,41","1,41","1,41",,"2,03","2,03","2,03","2,03","2,03",,"110,00%",110%,110%,110%,110%,,-1,,,,,,,,,,,,,
LM-1 Melaksanakan Penambahan Daya TersambungKARAWANG2026,4DX,2026,WIG-1,4DX,LM-1 Melaksanakan Penambahan Daya Tersambung,3,MVA,KARAWANG,"19,57",,"3,91","3,91","3,91","3,91","3,91",,"1,04","1,04","1,04","1,04","1,04",,"26,57%",27%,27%,27%,27%,,3,,,,,,,,,,,,,
LM-1 Melaksanakan Penambahan Daya TersambungMAJALAYA2026,4DX,2026,WIG-1,4DX,LM-1 Melaksanakan Penambahan Daya Tersambung,3,MVA,MAJALAYA,"6,75",,"1,35","1,35","1,35","1,35","1,35",,"1,07","1,07","1,07","1,07","1,07",,"79,29%",79%,79%,79%,79%,,0,,,,,,,,,,,,,
LM-1 Melaksanakan Penambahan Daya TersambungPURWAKARTA2026,4DX,2026,WIG-1,4DX,LM-1 Melaksanakan Penambahan Daya Tersambung,3,MVA,PURWAKARTA,"10,79",,"2,16","2,16","2,16","2,16","2,16",,"2,35","2,35","2,35","2,35","2,35",,"108,88%",109%,109%,109%,109%,,0,,,,,,,,,,,,,
LM-1 Melaksanakan Penambahan Daya TersambungSUKABUMI2026,4DX,2026,WIG-1,4DX,LM-1 Melaksanakan Penambahan Daya Tersambung,3,MVA,SUKABUMI,"4,98",,"1,00","1,00","1,00","1,00","1,00",,"0,90","0,90","0,90","0,90","0,90",,"90,31%",90%,90%,90%,90%,,0,,,,,,,,,,,,,
LM-1 Melaksanakan Penambahan Daya TersambungSUMEDANG2026,4DX,2026,WIG-1,4DX,LM-1 Melaksanakan Penambahan Daya Tersambung,3,MVA,SUMEDANG,"8,11",,"1,62","1,62","1,62","1,62","1,62",,"1,99","1,99","1,99","1,99","1,99",,"110,00%",110%,110%,110%,110%,,0,,,,,,,,,,,,,
LM-1 Melaksanakan Penambahan Daya TersambungTASIKMALAYA2026,4DX,2026,WIG-1,4DX,LM-1 Melaksanakan Penambahan Daya Tersambung,3,MVA,TASIKMALAYA,"6,03",,"1,21","1,21","1,21","1,21","1,21",,"1,46","1,46","1,46","1,46","1,46",,"110,00%",110%,110%,110%,110%,,"-0,254",,,,,,,,,,,,,
LM-2 Melaksanakan Penyambungan SDS (Same Day Service) dan ODS (One Day Service)Untuk Pelanggan TR 1 Phase tanpa perluasanUID JABAR2026,4DX,2026,WIG-1,4DX,LM-2 Melaksanakan Penyambungan SDS (Same Day Service) dan ODS (One Day Service)Untuk Pelanggan TR 1 Phase tanpa perluasan,3,%,UID JABAR,90%,,90%,90%,90%,90%,90%,,"85,18%","85,18%","85,18%","85,18%","85,18%",,"94,64%",95%,95%,95%,95%,,"0,62",,,,,,,,,,,,,
LM-2 Melaksanakan Penyambungan SDS (Same Day Service) dan ODS (One Day Service)Untuk Pelanggan TR 1 Phase tanpa perluasanBANDUNG2026,4DX,2026,WIG-1,4DX,LM-2 Melaksanakan Penyambungan SDS (Same Day Service) dan ODS (One Day Service)Untuk Pelanggan TR 1 Phase tanpa perluasan,3,%,BANDUNG,90%,,90%,90%,90%,90%,90%,,"78,26%","78,26%","78,26%","78,26%","78,26%",,"86,96%",87%,87%,87%,87%,,"0,12",,,,,,,,,,,,,
LM-2 Melaksanakan Penyambungan SDS (Same Day Service) dan ODS (One Day Service)Untuk Pelanggan TR 1 Phase tanpa perluasanBEKASI2026,4DX,2026,WIG-1,4DX,LM-2 Melaksanakan Penyambungan SDS (Same Day Service) dan ODS (One Day Service)Untuk Pelanggan TR 1 Phase tanpa perluasan,3,%,BEKASI,90%,,90%,90%,90%,90%,90%,,"95,33%","95,33%","95,33%","95,33%","95,33%",,"105,92%",106%,106%,106%,106%,,"-0,05",,,,,,,,,,,,,
LM-2 Melaksanakan Penyambungan SDS (Same Day Service) dan ODS (One Day Service)Untuk Pelanggan TR 1 Phase tanpa perluasanBOGOR2026,4DX,2026,WIG-1,4DX,LM-2 Melaksanakan Penyambungan SDS (Same Day Service) dan ODS (One Day Service)Untuk Pelanggan TR 1 Phase tanpa perluasan,3,%,BOGOR,90%,,90%,90%,90%,90%,90%,,"80,98%","80,98%","80,98%","80,98%","80,98%",,"89,98%",90%,90%,90%,90%,,"0,09",,,,,,,,,,,,,
LM-2 Melaksanakan Penyambungan SDS (Same Day Service) dan ODS (One Day Service)Untuk Pelanggan TR 1 Phase tanpa perluasanCIANJUR2026,4DX,2026,WIG-1,4DX,LM-2 Melaksanakan Penyambungan SDS (Same Day Service) dan ODS (One Day Service)Untuk Pelanggan TR 1 Phase tanpa perluasan,3,%,CIANJUR,90%,,90%,90%,90%,90%,90%,,"84,84%","84,84%","84,84%","84,84%","84,84%",,"94,27%",94%,94%,94%,94%,,"0,05",,,,,,,,,,,,,
